rank,uid,username,type
1,244761,kooangel,提督
2,71161734,焰语娜娜,舰长
3,675359,出云的天线,舰长
4,33563,万受无酱,舰长
5,1668762828,Amnelis,舰长
6,20836240,龙猫小卷,舰长
7,542204,羊葱冰沙,舰长
8,43657743,好想再睡多一会,舰长
9,444976250,Tomjojo,舰长
10,13490,CZT_吃枕头,舰长
11,6666274,LadonQ,舰长
12,179619755,gglyeah,舰长
13,26566116,一般路过的星之卡比,舰长
14,1052926133,无已时,舰长
15,36876412,一生幻梦,舰长
16,67765750,坐在马桶上冥想,舰长
17,1608271,zf000ooo,舰长
18,3690991722695399,小_丸L犊子,舰长
19,19227703,花きい桜雪,舰长
20,411755747,可爱丶小猫,舰长
21,398403897,恰恰壳壳,舰长
22,1103836485,灰熔,舰长
23,12655115,星夜下的鑫,舰长
24,1269186,神器藏兜哪有错,舰长
25,259762,Fantacy,舰长
26,5679424,单调主题,舰长
