rank,uid,username,type
1,244761,kooangel,提督
2,71161734,焰语娜娜,舰长
3,675359,出云的天线,舰长
4,33563,万受无酱,舰长
5,306581,别说话-我在潜行,舰长
6,1668762828,Amnelis,舰长
7,28219035,羽意_,舰长
8,542204,羊葱冰沙,舰长
9,43657743,好想再睡多一会,舰长
10,251481034,Sora泉,舰长
11,13490,CZT_吃枕头,舰长
12,179619755,gglyeah,舰长
13,6666274,LadonQ,舰长
14,444976250,Tomjojo,舰长
15,1052926133,无已时,舰长
16,13921283,错了错了滑轨投降了,舰长
17,3690991722695399,小_丸L犊子,舰长
18,52765711,风稀饭大王丶,舰长
19,1608271,zf000ooo,舰长
20,95044,dqdqe,舰长
21,36876412,一生幻梦,舰长
22,14176,DLS_MWZZ,舰长
23,1412940,Enyc,舰长
24,26566116,一般路过的星之卡比,舰长
25,70093,12dora,舰长
26,4868003,茉宁Yukina,舰长
27,13908542,柊真华Official,舰长
28,34890150,Zaa__,舰长
29,19227703,花きい桜雪,舰长
30,2001552,一欧力,舰长
31,1670680,等丶时光,舰长
32,20836240,龙猫小卷,舰长
33,289133881,頹龍先森,舰长
34,12655115,星夜下的鑫,舰长
