rank,uid,username,type
1,244761,kooangel,提督
2,71161734,焰语娜娜,舰长
3,675359,出云的天线,舰长
4,33563,万受无酱,舰长
5,1668762828,Amnelis,舰长
6,542204,羊葱冰沙,舰长
7,26566116,一般路过的星之卡比,舰长
8,444976250,Tomjojo,舰长
9,43657743,好想再睡多一会,舰长
10,13490,CZT_吃枕头,舰长
11,6666274,LadonQ,舰长
12,1052926133,无已时,舰长
13,179619755,gglyeah,舰长
14,17049803,充满智慧的琪露諾,舰长
15,36876412,一生幻梦,舰长
16,11927262,麦片加果冻,舰长
17,1608271,zf000ooo,舰长
18,12655115,星夜下的鑫,舰长
19,39749040,清音墨逸,舰长
20,1412940,Enyc,舰长
21,3690991722695399,小_丸L犊子,舰长
22,95044,dqdqe,舰长
23,435181392,丛理,舰长
24,464207,饱饱Official,舰长
25,19227703,花きい桜雪,舰长
26,318991124,故辞要困嘎了,舰长
27,13221081,剑指孤城,舰长
28,411755747,可爱丶小猫,舰长
29,13400424,阿鹏Carlos,舰长
30,248516,咩咩羊,舰长
31,15872621,白小坎,舰长
32,178546516,玖明轩,舰长
33,7375732,無糖IA,舰长
34,3195284,妖刀静刃,舰长
35,398403897,恰恰壳壳,舰长
36,1670680,等丶时光,舰长
37,146351226,丨柠檬酸钠丨,舰长
38,1103836485,灰熔,舰长
39,282075,Judicium,舰长
40,29430027,水果摊ss,舰长
41,259762,Fantacy,舰长
42,83886734,restzero,舰长
43,434156374,战炎毛毛OS,舰长
44,8881297,钉宫妮妮Ninico,舰长
45,473491999,至極普通の魔法使い,舰长
46,371617982,Yaazee,舰长
47,2038812,胡桃Usb,舰长
48,1861813,softstar12,舰长
49,513518,魂噗妖梦,舰长
50,66904279,wuji无极,舰长
51,6569105,冷川2344,舰长
52,3546784563464880,常则,舰长
53,20412545,白与灵魂共舞,舰长
54,487633943,吉伊她真嚣张,舰长
55,421332385,忆雨人思绘,舰长
56,1893049,紫紫紫川i,舰长
57,498511970,醉梦铃,舰长
58,3707036904721301,将尤blus,舰长
59,1672630444,万千佳人,舰长
60,65814554,爆走的玉米粒,舰长
61,35120497,以饭之名丶,舰长
62,4053690,竹笋Az,舰长
63,3546616294280053,沐沐off,舰长
64,241888128,香香烧烤的后槽牙OvO,舰长
65,290939920,柳木雪,舰长
66,8270106,纳兰温言,舰长
67,12313796,桐雨KAK,舰长
68,26334976,何水墨,舰长
69,29370323,咸鱼丁,舰长
70,381859235,非BR,舰长
71,593125,自繎,舰长
72,8991280,某路过の执事君,舰长
73,29562308,永雏栞病,舰长
74,2204231,别抢我肉饼,舰长
75,8295949,逐光暗影,舰长
76,14203356,雷达雷達,舰长
77,517460333,__lieone__,舰长
78,25031832,早上好早丿,舰长
79,10092465,阿肆狠可爱,舰长
80,183516428,璐璐伯,舰长
81,412870216,幽然墨涵,舰长
82,3461581482494424,第十七人,舰长
83,375988,白衣沽酒绮罗生,舰长
84,7991696,-第五-,舰长
85,5848250,世界第一张郎殿下,舰长
86,1331899,米卡Mikako,舰长
87,957667,鹿丸井,舰长
