rank,uid,username,type
1,244761,kooangel,提督
2,71161734,焰语娜娜,舰长
3,675359,出云的天线,舰长
4,33563,万受无酱,舰长
5,306581,别说话-我在潜行,舰长
6,1668762828,Amnelis,舰长
7,28219035,羽意_,舰长
8,542204,羊葱冰沙,舰长
9,43657743,好想再睡多一会,舰长
10,17049803,充满智慧的琪露諾,舰长
11,251481034,Sora泉,舰长
12,13490,CZT_吃枕头,舰长
13,444976250,Tomjojo,舰长
14,179619755,gglyeah,舰长
15,6666274,LadonQ,舰长
16,26566116,一般路过的星之卡比,舰长
17,13921283,错了错了滑轨投降了,舰长
18,20836240,龙猫小卷,舰长
19,3690991722695399,小_丸L犊子,舰长
20,52765711,风稀饭大王丶,舰长
21,36876412,一生幻梦,舰长
22,1608271,zf000ooo,舰长
23,95044,dqdqe,舰长
24,1412940,Enyc,舰长
25,13400424,阿鹏Carlos,舰长
26,34890150,Zaa__,舰长
27,322018616,已经不需要魔法了,舰长
28,19227703,花きい桜雪,舰长
29,4868003,茉宁Yukina,舰长
30,2038812,胡桃Usb,舰长
31,434156374,战炎毛毛OS,舰长
32,13908542,柊真华Official,舰长
33,2001552,一欧力,舰长
34,1861813,softstar12,舰长
35,1670680,等丶时光,舰长
36,1558002940,cap小树,舰长
37,37732954,被重力禁锢的灵魂,舰长
38,7547325,爱吃核桃的君莫哭,舰长
39,5533708,夜刀神雨寒,舰长
40,289133881,頹龍先森,舰长
41,12655115,星夜下的鑫,舰长
42,20412545,白与灵魂共舞,舰长
43,545058176,乃琳的豆乳盒子,舰长
