rank,uid,username,type
1,244761,kooangel,提督
2,71161734,焰语娜娜,舰长
3,675359,出云的天线,舰长
4,306581,别说话-我在潜行,舰长
5,1668762828,Amnelis,舰长
6,43657743,好想再睡多一会,舰长
7,251481034,Sora泉,舰长
8,28219035,羽意_,舰长
9,542204,羊葱冰沙,舰长
10,179619755,gglyeah,舰长
11,6666274,LadonQ,舰长
12,3493262004324891,山竹_June,舰长
13,52765711,风稀饭大王丶,舰长
14,13490,CZT_吃枕头,舰长
15,444976250,Tomjojo,舰长
16,39749040,清音墨逸,舰长
17,17895145,今年的我稍微有些大胆,舰长
18,67765750,坐在马桶上冥想,舰长
19,13921283,错了错了滑轨投降了,舰长
20,16257134,笨饭无聊,舰长
21,12225081,晓江QAQ,舰长
22,95044,dqdqe,舰长
23,279428150,地夔,舰长
24,1608271,zf000ooo,舰长
25,21194537,芝士月球冰,舰长
26,27929580,小夜鹞,舰长
27,19133,ALS栖川吟狼,舰长
28,830349,赤城の白彗星,舰长
29,20509932,玄雨sama,舰长
30,864567,扎卡德,舰长
31,381233743,猫不咬紫柒,舰长
32,56748733,雪绘Yukie,舰长
33,53720432,应麟,舰长
34,272976284,四线玩家,舰长
35,615294,秽翼の马鹿,舰长
